"","Pathogen","Disease","AgeGroup","CostItem","median","5%","95%"
"874","Toxoplasma gondii","Initial and sequel disease","5-64","Premature mortality",992439.864835115,248223.442517038,2958370.14121189
"875","Toxoplasma gondii","Initial and sequel disease","5-64","HumanCapital",4257240.53367057,1702495.64617987,7920034.27460595
"876","Toxoplasma gondii","Initial and sequel disease","5-64","FrictionHigh",3405792.42693646,1361996.51694389,6336027.41968476
"877","Toxoplasma gondii","Initial and sequel disease","5-64","FrictionLow",1277172.16010117,510748.69385396,2376010.28238179
"878","Toxoplasma gondii","Initial and sequel disease","5-64","TotalHumanCapital",8884990.89415492,4968967.66600772,13991535.3518089
"879","Toxoplasma gondii","Initial and sequel disease","5-64","TotalFrictionHigh",8021037.54356075,4554568.40841317,12516481.1594267
"880","Toxoplasma gondii","Initial and sequel disease","5-64","TotalFrictionLow",5847685.02993093,3400796.94768543,9057383.49838216
"881","Toxoplasma gondii","Initial and sequel disease","5-64","Direct",2483485.31503217,1150803.68410787,4403062.32796443
"882","Toxoplasma gondii","Initial and sequel disease","5-64","Pain and suffering",760477.062554781,263577.491372581,1688906.72026888
"883","Toxoplasma gondii","Initial and sequel disease","65+","Premature mortality",398616.740261634,50856.5572188218,1681115.84613073
"884","Toxoplasma gondii","Initial and sequel disease","65+","HumanCapital",196137.126329142,46338.8864874333,1058235.65840314
"885","Toxoplasma gondii","Initial and sequel disease","65+","FrictionHigh",156909.701063314,37071.1091899466,846588.526722511
"886","Toxoplasma gondii","Initial and sequel disease","65+","FrictionLow",58841.1378987427,13901.66594623,317470.697520942
"887","Toxoplasma gondii","Initial and sequel disease","65+","TotalHumanCapital",1092690.04423312,503648.225204735,2695118.08775514
"888","Toxoplasma gondii","Initial and sequel disease","65+","TotalFrictionHigh",1039921.62183857,481795.347920023,2541078.69401372
"889","Toxoplasma gondii","Initial and sequel disease","65+","TotalFrictionLow",891873.056192808,415486.147446307,2213309.99511073
"890","Toxoplasma gondii","Initial and sequel disease","65+","Direct",286190.654824789,127424.875655884,515683.613248772
"891","Toxoplasma gondii","Initial and sequel disease","65+","Pain and suffering",69281.7328558278,24617.4783386857,154585.41520219
"892","Toxoplasma gondii","Initial and sequel disease","All ages","Premature mortality",1723565.93405532,621430.874853039,4023846.03859906
"893","Toxoplasma gondii","Initial and sequel disease","All ages","HumanCapital",4955066.9227581,1972996.71092828,9290451.33709246
"894","Toxoplasma gondii","Initial and sequel disease","All ages","FrictionHigh",3964053.53820648,1578397.36874262,7432361.06967397
"895","Toxoplasma gondii","Initial and sequel disease","All ages","FrictionLow",1486520.07682743,591899.013278483,2787135.40112774
"896","Toxoplasma gondii","Initial and sequel disease","All ages","TotalHumanCapital",10859554.4618668,6325391.10515637,16868688.3115001
"897","Toxoplasma gondii","Initial and sequel disease","All ages","TotalFrictionHigh",9862390.97045894,5837832.06301939,15135155.4222806
"898","Toxoplasma gondii","Initial and sequel disease","All ages","TotalFrictionLow",7337824.69329299,4512285.38302277,11009707.9622365
"899","Toxoplasma gondii","Initial and sequel disease","All ages","Direct",2858051.62739171,1497263.19726544,4794328.59347311
"900","Toxoplasma gondii","Initial and sequel disease","All ages","Pain and suffering",928480.79064579,319752.706631057,2064947.24459024
"901","Listeria monocytogenes","Listeriosis","<5","Premature mortality",13824151.2768023,7627046.11288344,23382893.5764746
"902","Listeria monocytogenes","Listeriosis","<5","HumanCapital",16471.0240829505,8213.1312989165,24811.0641397354
"903","Listeria monocytogenes","Listeriosis","<5","FrictionHigh",13176.8192663604,6570.5050391332,19848.8513117883
"904","Listeria monocytogenes","Listeriosis","<5","FrictionLow",4941.30722488514,2463.93938967495,7443.31924192063
"905","Listeria monocytogenes","Listeriosis","<5","TotalHumanCapital",14179264.1909744,7972498.4693993,23732529.9489717
"906","Listeria monocytogenes","Listeriosis","<5","TotalFrictionHigh",14175877.2920162,7969655.30211382,23729139.4998206
"907","Listeria monocytogenes","Listeriosis","<5","TotalFrictionLow",14168445.10143,7962419.02323759,23720847.6887018
"908","Listeria monocytogenes","Listeriosis","<5","Direct",326426.105492457,163062.415853472,490749.916775909
"909","Listeria monocytogenes","Listeriosis","<5","Pain and suffering",5730.19248524168,2775.38445834409,9364.23773810023
"910","Listeria monocytogenes","Listeriosis","5-64","Premature mortality",3687923.24727176,1207125.55908471,8681035.25920594
"911","Listeria monocytogenes","Listeriosis","5-64","HumanCapital",153178.788099031,76501.3275878482,230392.265965094
"912","Listeria monocytogenes","Listeriosis","5-64","FrictionHigh",122543.030479225,61201.0620702785,184313.812772075
"913","Listeria monocytogenes","Listeriosis","5-64","FrictionLow",45953.6364297094,22950.3982763544,69117.6797895282
"914","Listeria monocytogenes","Listeriosis","5-64","TotalHumanCapital",6227486.59826691,3367508.83598209,11337071.915225
"915","Listeria monocytogenes","Listeriosis","5-64","TotalFrictionHigh",6195771.34676408,3343805.50406573,11303329.8781418
"916","Listeria monocytogenes","Listeriosis","5-64","TotalFrictionLow",6116178.15573974,3285954.57395228,11222384.3870083
"917","Listeria monocytogenes","Listeriosis","5-64","Direct",2285087.1297724,1141269.43659111,3434759.15378064
"918","Listeria monocytogenes","Listeriosis","5-64","Pain and suffering",40111.3473966918,19427.6912084086,65549.6641667016
"919","Listeria monocytogenes","Listeriosis","65+","Premature mortality",28460591.9907066,17167172.7480701,44399899.8015757
"920","Listeria monocytogenes","Listeriosis","65+","HumanCapital",147644.938175249,72679.2109874295,237924.708130676
"921","Listeria monocytogenes","Listeriosis","65+","FrictionHigh",118115.9505402,58143.3687899436,190339.766504541
"922","Listeria monocytogenes","Listeriosis","65+","FrictionLow",44293.4814525748,21803.7632962289,71377.4124392028
"923","Listeria monocytogenes","Listeriosis","65+","TotalHumanCapital",32882073.7225014,21303229.5063904,48895610.4186342
"924","Listeria monocytogenes","Listeriosis","65+","TotalFrictionHigh",32852410.6889206,21277817.5296706,48860618.7033186
"925","Listeria monocytogenes","Listeriosis","65+","TotalFrictionLow",32773591.1913706,21212147.7039906,48776909.705668
"926","Listeria monocytogenes","Listeriosis","65+","Direct",4134971.23444475,2065226.17609197,6216008.39349121
